# 英雄ID对照表
# 格式: ID: 变量名 | 中文名 | 类型
# 颜色规则: red=敌人(0-128), blue=队友(129-257), green=自己(258-386)
#======================================================================

0: lianpo_red | 廉颇 | 敌人
193: ganjiangmoye_blue | 干将莫邪 | 队友
194: guiguzi_blue | 鬼谷子 | 队友
195: kai_blue | 铠 | 队友
196: bailishouyue_blue | 百里守约 | 队友
197: bailixuance_blue | 百里玄策 | 队友
198: sulie_blue | 苏烈 | 队友
199: mengqi_blue | 蒙犽 | 队友
200: nvwa_blue | 女娲 | 队友
201: mingshiyin_blue | 明世隐 | 队友
202: gongsunli_blue | 公孙离 | 队友
203: yangyuhuan_blue | 杨玉环 | 队友
204: peiqinhu_blue | 裴擒虎 | 队友
205: yixing_blue | 弈星 | 队友
206: kuangtie_blue | 狂铁 | 队友
207: milaidi_blue | 米莱狄 | 队友
208: yuange_blue | 元歌 | 队友
209: sunce_blue | 孙策 | 队友
210: simayi_blue | 司马懿 | 队友
211: dunshan_blue | 盾山 | 队友
212: jialuo_blue | 伽罗 | 队友
213: shenmengxi_blue | 沈梦溪 | 队友
214: lixin_blue | 李信 | 队友
215: shangguanwaner_blue | 上官婉儿 | 队友
216: change_blue | 嫦娥 | 队友
217: zhubajie_blue | 猪八戒 | 队友
218: pangu_blue | 盘古 | 队友
219: yao_blue | 瑶 | 队友
220: yunzhongjun_blue | 云中君 | 队友
221: dongfangyao_blue | 东方曜 | 队友
222: machao_blue | 马超 | 队友
223: xishi_blue | 西施 | 队友
224: lubandashi_blue | 鲁班大师 | 队友
225: mengya_blue | 蒙恬 | 队友
226: jing_blue | 镜 | 队友
227: mengtian_blue | 蒙恬 | 队友
228: aguduo_blue | 阿古朵 | 队友
229: xialuote_blue | 夏洛特 | 队友
230: lan_blue | 澜 | 队友
231: sikongzhen_blue | 司空震 | 队友
232: ailin_blue | 艾琳 | 队友
233: yunying_blue | 云缨 | 队友
234: jinchan_blue | 金蝉 | 队友
235: fei_blue | 暃 | 队友
236: sangqi_blue | 桑启 | 队友
237: geya_blue | 戈娅 | 队友
238: haiyue_blue | 海月 | 队友
239: zhaohuaizhen_blue | 赵怀真 | 队友
240: laixiao_blue | 莱西奥 | 队友
241: jixiaoman_blue | 姬小满 | 队友
242: yalian_blue | 亚连 | 队友
243: duoliya_blue | 朵莉亚 | 队友
244: hainuo_blue | 海诺 | 队友
245: aoyin_blue | 敖隐 | 队友
246: dasiming_blue | 大司命 | 队友
247: yuanliuzhizi_magic_blue | 元流之子(法) | 队友
248: yuanliuzhizi_tank_blue | 元流之子(坦) | 队友
249: shaosiyuan_blue | 少司缘 | 队友
250: ying_blue | 影 | 队友
251: cang_blue | 苍 | 队友
252: kongkonger_blue | 空空儿 | 队友
253: yuanliuzhizi_archer_blue | 元流之子(射) | 队友
254: sunquan_blue | 孙权 | 队友
255: chicha_blue | 蚩奼 | 队友
256: yuanliuzhizi_support_blue | 元流之子(辅) | 队友
257: dayu_blue | 大禹 | 队友
258: lianpo_green | 廉颇 | 自己
259: xiaoqiao_green | 小乔 | 自己
260: zhaoyun_green | 赵云 | 自己
261: mozi_green | 墨子 | 自己
262: daji_green | 妲己 | 自己
263: yingzheng_green | 嬴政 | 自己
264: sunshangxiang_green | 孙尚香 | 自己
265: lubanqihao_green | 鲁班七号 | 自己
266: zhuangzhou_green | 庄周 | 自己
267: liushan_green | 刘禅 | 自己
268: gaojianli_green | 高渐离 | 自己
269: ake_green | 阿轲 | 自己
270: zhongwuyan_green | 钟无艳 | 自己
271: sunbin_green | 孙膑 | 自己
272: bianque_green | 扁鹊 | 自己
273: baiqi_green | 白起 | 自己
274: miyue_green | 芈月 | 自己
275: lvbu_green | 吕布 | 自己
276: zhouyv_green | 周瑜 | 自己
277: xiahoudun_green | 夏侯惇 | 自己
278: zhenji_green | 甄姬 | 自己
279: caocao_green | 曹操 | 自己
280: dianwei_green | 典韦 | 自己
281: gongbenwuzang_green | 宫本武藏 | 自己
282: libai_green | 李白 | 自己
283: makeboluo_green | 马可波罗 | 自己
284: direnjie_green | 狄仁杰 | 自己
285: damo_green | 达摩 | 自己
286: xiangyu_green | 项羽 | 自己
287: wuzetian_green | 武则天 | 自己
288: laofuzi_green | 老夫子 | 自己
289: guanyu_green | 关羽 | 自己
290: diaochan_green | 貂蝉 | 自己
291: anqila_green | 安琪拉 | 自己
292: chengyaojin_green | 程咬金 | 自己
293: luna_green | 露娜 | 自己
294: jiangziya_green | 姜子牙 | 自己
295: liubang_green | 刘邦 | 自己
296: hanxin_green | 韩信 | 自己
297: wangzhaojun_green | 王昭君 | 自己
298: lanlingwang_green | 兰陵王 | 自己
299: huamulan_green | 花木兰 | 自己
300: zhangliang_green | 张良 | 自己
301: buzhihuowu_green | 不知火舞 | 自己
302: nakelulu_green | 娜可露露 | 自己
303: jvyoujing_green | 橘右京 | 自己
304: yase_green | 亚瑟 | 自己
305: sunwukong_green | 孙悟空 | 自己
306: niumo_green | 牛魔 | 自己
307: houyi_green | 后羿 | 自己
308: liubei_green | 刘备 | 自己
309: zhangfei_green | 张飞 | 自己
310: liyuanfang_green | 李元芳 | 自己
311: yuji_green | 虞姬 | 自己
312: zhongkui_green | 钟馗 | 自己
313: yangjian_green | 杨戬 | 自己
314: yadianna_green | 雅典娜 | 自己
315: caiwenji_green | 蔡文姬 | 自己
316: taiyizhenren_green | 太乙真人 | 自己
317: nezha_green | 哪吒 | 自己
318: zhugeliang_green | 诸葛亮 | 自己
319: huangzhong_green | 黄忠 | 自己
320: daqiao_green | 大乔 | 自己
321: donghuangtaiyi_green | 东皇太一 | 自己
322: ganjiangmoye_green | 干将莫邪 | 自己
323: guiguzi_green | 鬼谷子 | 自己
324: kai_green | 铠 | 自己
325: bailishouyue_green | 百里守约 | 自己
326: bailixuance_green | 百里玄策 | 自己
327: sulie_green | 苏烈 | 自己
328: mengqi_green | 蒙犽 | 自己
329: nvwa_green | 女娲 | 自己
330: mingshiyin_green | 明世隐 | 自己
331: gongsunli_green | 公孙离 | 自己
332: yangyuhuan_green | 杨玉环 | 自己
333: peiqinhu_green | 裴擒虎 | 自己
334: yixing_green | 弈星 | 自己
335: kuangtie_green | 狂铁 | 自己
336: milaidi_green | 米莱狄 | 自己
337: yuange_green | 元歌 | 自己
338: sunce_green | 孙策 | 自己
339: simayi_green | 司马懿 | 自己
340: dunshan_green | 盾山 | 自己
341: jialuo_green | 伽罗 | 自己
342: shenmengxi_green | 沈梦溪 | 自己
343: lixin_green | 李信 | 自己
344: shangguanwaner_green | 上官婉儿 | 自己
345: change_green | 嫦娥 | 自己
346: zhubajie_green | 猪八戒 | 自己
347: pangu_green | 盘古 | 自己
348: yao_green | 瑶 | 自己
349: yunzhongjun_green | 云中君 | 自己
350: dongfangyao_green | 东方曜 | 自己
351: machao_green | 马超 | 自己
352: xishi_green | 西施 | 自己
353: lubandashi_green | 鲁班大师 | 自己
354: mengya_green | 蒙恬 | 自己
355: jing_green | 镜 | 自己
356: mengtian_green | 蒙恬 | 自己
357: aguduo_green | 阿古朵 | 自己
358: xialuote_green | 夏洛特 | 自己
359: lan_green | 澜 | 自己
360: sikongzhen_green | 司空震 | 自己
361: ailin_green | 艾琳 | 自己
362: yunying_green | 云缨 | 自己
363: jinchan_green | 金蝉 | 自己
364: fei_green | 暃 | 自己
365: sangqi_green | 桑启 | 自己
366: geya_green | 戈娅 | 自己
367: haiyue_green | 海月 | 自己
368: zhaohuaizhen_green | 赵怀真 | 自己
369: laixiao_green | 莱西奥 | 自己
370: jixiaoman_green | 姬小满 | 自己
371: yalian_green | 亚连 | 自己
372: duoliya_green | 朵莉亚 | 自己
373: hainuo_green | 海诺 | 自己
374: aoyin_green | 敖隐 | 自己
375: dasiming_green | 大司命 | 自己
376: yuanliuzhizi_magic_green | 元流之子(法) | 自己
377: yuanliuzhizi_tank_green | 元流之子(坦) | 自己
378: shaosiyuan_green | 少司缘 | 自己
379: ying_green | 影 | 自己
380: cang_green | 苍 | 自己
381: kongkonger_green | 空空儿 | 自己
382: yuanliuzhizi_archer_green | 元流之子(射) | 自己
383: sunquan_green | 孙权 | 自己
384: chicha_green | 蚩奼 | 自己
385: yuanliuzhizi_support_green | 元流之子(辅) | 自己
386: dayu_green | 大禹 | 自己
